cap.shape,,cap.surface,cap.color,bruises,odor,gill.attachment,gill.spacing,gill.size,gill.color,stalk.shape,stalk.surface.above.ring,stalk.surface.below.ring,stalk.color.above.ring,stalk.color.below.ring,veil.color,ring.number,ring.type,spore.print.color,population,habitat,class
x,2,f,g,f,n,f,w,b,p,t,f,s,w,w,w,o,e,k,a,g,e
b,2,y,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,s,m,e
x,2,y,e,t,n,f,c,b,u,t,s,s,w,p,w,o,p,k,v,d,e
f,2,s,n,f,n,f,w,b,h,t,s,f,w,w,w,o,e,n,s,g,e
x,2,f,e,t,n,f,c,b,w,t,s,s,p,p,w,o,p,k,y,d,e
x,2,s,g,f,n,f,w,b,p,t,s,s,w,w,w,o,e,n,a,g,e
x,2,f,g,f,n,f,w,b,p,t,f,f,w,w,w,o,e,n,a,g,e
x,2,s,g,f,n,f,w,b,n,t,s,s,w,w,w,o,e,k,a,g,e
x,2,y,e,t,n,f,c,b,w,t,s,s,w,p,w,o,p,k,y,d,e
f,2,f,g,t,n,f,c,b,w,t,s,s,p,w,w,o,p,n,y,d,e
f,2,f,n,t,n,f,c,b,n,t,s,s,p,w,w,o,p,k,y,d,e
x,2,f,n,f,n,f,w,b,k,t,f,f,w,w,w,o,e,n,s,g,e
x,2,y,y,t,a,f,c,b,p,e,s,y,w,w,w,o,p,n,s,p,e
x,2,y,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,s,m,e
x,2,s,n,f,n,f,w,b,p,t,s,s,w,w,w,o,e,n,s,g,e
f,2,s,w,f,n,f,w,b,p,t,s,s,w,w,w,o,e,n,a,g,e
f,2,f,w,f,n,f,w,b,k,t,f,f,w,w,w,o,e,k,s,g,e
x,2,f,g,t,n,f,c,b,u,t,s,s,g,p,w,o,p,n,v,d,e
x,2,f,n,t,n,f,c,b,p,t,s,s,w,g,w,o,p,n,y,d,e
x,2,s,w,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m,e
f,2,s,g,f,n,f,w,b,n,t,f,s,w,w,w,o,e,n,s,g,e
f,2,y,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,v,g,p
f,2,f,g,f,n,f,w,b,p,t,f,s,w,w,w,o,e,n,s,g,e
x,2,f,w,f,n,f,w,b,n,t,s,f,w,w,w,o,e,n,s,g,e
x,2,y,n,t,n,f,c,b,u,t,s,s,p,w,w,o,p,k,v,d,e
f,2,s,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,k,v,u,p
f,2,s,g,f,n,f,w,b,p,t,s,s,w,w,w,o,e,n,a,g,e
x,2,f,g,t,n,f,c,b,n,t,s,s,w,g,w,o,p,k,y,d,e
x,2,f,g,t,n,f,c,b,n,t,s,s,w,g,w,o,p,k,v,d,e
x,2,s,w,t,p,f,c,n,p,e,s,s,w,w,w,o,p,n,v,u,p
x,2,s,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,n,m,e
f,2,y,n,t,n,f,c,b,w,t,s,s,w,w,w,o,p,n,y,d,e
x,2,f,g,f,n,f,w,b,k,t,f,s,w,w,w,o,e,n,s,g,e
f,2,s,w,f,n,f,w,b,p,t,f,s,w,w,w,o,e,n,s,g,e
x,2,f,n,t,n,f,c,b,n,t,s,s,g,g,w,o,p,n,v,d,e
f,2,f,n,t,n,f,c,b,u,t,s,s,w,p,w,o,p,n,v,d,e
f,2,f,n,f,n,f,w,b,h,t,f,f,w,w,w,o,e,n,s,g,e
x,2,f,g,t,n,f,c,b,p,t,s,s,g,w,w,o,p,k,y,d,e
x,2,f,e,t,n,f,c,b,n,t,s,s,p,g,w,o,p,n,y,d,e
f,2,y,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,s,u,p
x,2,y,g,t,n,f,c,b,p,t,s,s,g,g,w,o,p,k,v,d,e
x,2,y,g,t,n,f,c,b,p,t,s,s,g,w,w,o,p,k,y,d,e
f,2,f,g,t,n,f,c,b,n,t,s,s,w,w,w,o,p,n,v,d,e
x,2,s,w,t,p,f,c,n,n,e,s,s,w,w,w,o,p,k,s,g,p
x,2,s,n,f,n,f,w,b,k,t,s,s,w,w,w,o,e,n,a,g,e
f,2,f,g,t,n,f,c,b,p,t,s,s,w,w,w,o,p,n,v,d,e
x,2,y,n,t,n,f,c,b,w,t,s,s,p,w,w,o,p,n,v,d,e
f,2,f,n,t,n,f,c,b,w,t,s,s,g,p,w,o,p,n,y,d,e
x,2,f,e,t,n,f,c,b,u,t,s,s,g,g,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,p,t,s,s,w,w,w,o,p,n,v,d,e
x,2,y,e,t,n,f,c,b,u,t,s,s,p,p,w,o,p,k,y,d,e
x,2,f,g,t,n,f,c,b,w,t,s,s,p,w,w,o,p,k,v,d,e
f,2,f,g,t,n,f,c,b,p,t,s,s,w,w,w,o,p,k,v,d,e
x,2,f,e,t,n,f,c,b,w,t,s,s,g,w,w,o,p,k,v,d,e
x,2,y,e,t,n,f,c,b,u,t,s,s,g,p,w,o,p,n,v,d,e
x,2,s,w,t,p,f,c,n,w,e,s,s,w,w,w,o,p,n,v,g,p
x,2,y,g,t,n,f,c,b,p,t,s,s,w,w,w,o,p,k,v,d,e
x,2,y,e,t,n,f,c,b,w,t,s,s,w,g,w,o,p,k,y,d,e
x,2,f,e,t,n,f,c,b,p,t,s,s,w,w,w,o,p,n,y,d,e
f,2,y,e,t,n,f,c,b,n,t,s,s,w,w,w,o,p,n,y,d,e
f,2,y,g,t,n,f,c,b,w,t,s,s,p,p,w,o,p,k,v,d,e
x,2,y,g,t,n,f,c,b,n,t,s,s,w,p,w,o,p,k,v,d,e
x,2,f,g,f,f,f,c,b,p,e,k,k,b,b,w,o,l,h,y,g,p
x,2,f,e,t,n,f,c,b,u,t,s,s,w,p,w,o,p,k,v,d,e
x,2,y,n,t,n,f,c,b,n,t,s,s,w,g,w,o,p,n,y,d,e
x,2,f,g,t,n,f,c,b,w,t,s,s,p,g,w,o,p,k,y,d,e
x,2,y,n,t,n,f,c,b,p,t,s,s,p,w,w,o,p,n,y,d,e
f,2,y,n,t,n,f,c,b,p,t,s,s,w,g,w,o,p,n,v,d,e
x,2,y,n,t,n,f,c,b,n,t,s,s,g,g,w,o,p,n,v,d,e
f,2,s,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,v,u,p
x,2,y,n,t,n,f,c,b,u,t,s,s,p,g,w,o,p,n,v,d,e
x,2,y,n,t,n,f,c,b,n,t,s,s,p,g,w,o,p,n,y,d,e
x,2,f,e,t,n,f,c,b,p,t,s,s,g,w,w,o,p,n,y,d,e
x,2,y,g,t,n,f,c,b,n,t,s,s,g,g,w,o,p,k,y,d,e
x,2,y,e,t,n,f,c,b,p,t,s,s,p,g,w,o,p,n,v,d,e
x,2,y,g,t,n,f,c,b,p,t,s,s,g,p,w,o,p,k,v,d,e
x,2,f,g,t,n,f,c,b,n,t,s,s,g,g,w,o,p,n,v,d,e
f,2,f,n,t,n,f,c,b,p,t,s,s,w,p,w,o,p,k,v,d,e
x,2,f,g,f,f,f,c,b,p,e,k,k,n,p,w,o,l,h,y,d,p
x,2,y,g,t,n,f,c,b,u,t,s,s,p,w,w,o,p,k,y,d,e
x,2,f,e,t,n,f,c,b,w,t,s,s,p,g,w,o,p,n,y,d,e
f,2,y,n,t,n,f,c,b,p,t,s,s,w,g,w,o,p,k,y,d,e
f,2,f,g,t,n,f,c,b,p,t,s,s,w,p,w,o,p,k,y,d,e
x,2,f,e,t,n,f,c,b,n,t,s,s,p,w,w,o,p,k,y,d,e
x,2,f,g,t,n,f,c,b,u,t,s,s,g,w,w,o,p,n,v,d,e
x,2,f,n,t,n,f,c,b,u,t,s,s,p,w,w,o,p,k,v,d,e
x,2,f,g,t,n,f,c,b,w,t,s,s,w,g,w,o,p,k,y,d,e
x,2,s,g,f,n,f,w,b,k,t,s,s,w,w,w,o,e,n,s,g,e
x,2,y,e,t,n,f,c,b,n,t,s,s,g,w,w,o,p,n,v,d,e
x,2,f,g,t,n,f,c,b,u,t,s,s,w,p,w,o,p,k,y,d,e
x,2,f,g,t,n,f,c,b,n,t,s,s,p,p,w,o,p,n,v,d,e
f,2,f,g,t,n,f,c,b,p,t,s,s,w,p,w,o,p,n,y,d,e
x,2,s,w,f,n,f,w,b,p,t,s,f,w,w,w,o,e,n,a,g,e
x,2,f,n,t,n,f,c,b,w,t,s,s,g,w,w,o,p,n,y,d,e
x,2,y,g,t,n,f,c,b,w,t,s,s,w,w,w,o,p,k,y,d,e
x,2,y,e,t,n,f,c,b,u,t,s,s,g,p,w,o,p,k,v,d,e
x,2,f,n,t,n,f,c,b,w,t,s,s,g,p,w,o,p,k,y,d,e
f,2,y,g,t,n,f,c,b,w,t,s,s,w,w,w,o,p,k,y,d,e
x,2,s,p,f,c,f,w,n,g,e,s,s,w,w,w,o,p,n,s,d,p
f,2,f,g,t,n,f,c,b,n,t,s,s,p,w,w,o,p,k,v,d,e
x,2,y,e,t,n,f,c,b,p,t,s,s,w,p,w,o,p,k,y,d,e
x,2,y,n,t,n,f,c,b,w,t,s,s,w,g,w,o,p,n,v,d,e
x,2,f,g,t,n,f,c,b,w,t,s,s,g,w,w,o,p,n,y,d,e
f,2,f,n,t,n,f,c,b,p,t,s,s,g,w,w,o,p,n,v,d,e
x,2,y,n,t,n,f,c,b,n,t,s,s,p,w,w,o,p,k,v,d,e
x,2,y,n,t,n,f,c,b,w,t,s,s,p,w,w,o,p,k,v,d,e
x,2,y,e,t,n,f,c,b,n,t,s,s,w,w,w,o,p,n,v,d,e
x,2,y,e,t,n,f,c,b,u,t,s,s,g,g,w,o,p,n,v,d,e
x,2,y,g,t,n,f,c,b,p,t,s,s,p,w,w,o,p,n,v,d,e
x,2,f,g,t,n,f,c,b,p,t,s,s,w,w,w,o,p,n,y,d,e
f,2,y,g,t,n,f,c,b,p,t,s,s,p,g,w,o,p,k,v,d,e
x,2,y,e,t,n,f,c,b,p,t,s,s,p,w,w,o,p,k,y,d,e
x,2,y,g,t,n,f,c,b,p,t,s,s,w,g,w,o,p,n,y,d,e
x,2,f,g,f,f,f,c,b,g,e,k,k,b,p,w,o,l,h,y,p,p
x,2,y,e,t,n,f,c,b,w,t,s,s,w,g,w,o,p,n,y,d,e
f,2,s,w,t,p,f,c,n,w,e,s,s,w,w,w,o,p,k,v,g,p
f,2,y,n,t,n,f,c,b,u,t,s,s,w,w,w,o,p,k,y,d,e
x,2,y,g,t,n,f,c,b,p,t,s,s,g,p,w,o,p,n,v,d,e
f,2,f,e,t,n,f,c,b,n,t,s,s,g,w,w,o,p,k,y,d,e
x,2,y,g,t,n,f,c,b,u,t,s,s,g,g,w,o,p,n,y,d,e
f,2,f,n,t,n,f,c,b,w,t,s,s,g,p,w,o,p,k,y,d,e
f,2,f,g,t,n,f,c,b,p,t,s,s,p,w,w,o,p,n,v,d,e
f,2,f,g,t,n,f,c,b,p,t,s,s,p,p,w,o,p,k,y,d,e
f,2,y,n,t,n,f,c,b,u,t,s,s,w,w,w,o,p,n,y,d,e
x,2,f,g,t,n,f,c,b,w,t,s,s,p,g,w,o,p,n,v,d,e
x,2,y,e,t,n,f,c,b,u,t,s,s,p,w,w,o,p,n,v,d,e
f,2,s,g,f,n,f,w,b,n,t,f,s,w,w,w,o,e,n,a,g,e
x,2,y,n,t,n,f,c,b,n,t,s,s,p,w,w,o,p,k,y,d,e
f,2,s,w,f,n,f,w,b,h,t,s,f,w,w,w,o,e,k,a,g,e
x,2,f,g,t,n,f,c,b,p,t,s,s,p,g,w,o,p,n,v,d,e
f,2,f,g,t,n,f,c,b,n,t,s,s,p,w,w,o,p,n,v,d,e
f,2,f,n,f,n,f,w,b,n,t,s,f,w,w,w,o,e,k,s,g,e
f,2,f,g,t,n,f,c,b,n,t,s,s,w,p,w,o,p,k,v,d,e
x,2,y,e,t,n,f,c,b,u,t,s,s,g,w,w,o,p,k,y,d,e
f,2,f,g,t,n,f,c,b,n,t,s,s,w,g,w,o,p,k,v,d,e
x,2,y,n,t,n,f,c,b,u,t,s,s,w,p,w,o,p,n,y,d,e
x,2,y,n,t,n,f,c,b,u,t,s,s,p,g,w,o,p,n,y,d,e
f,2,f,g,t,n,f,c,b,n,t,s,s,w,g,w,o,p,k,y,d,e
x,2,s,p,f,c,f,w,n,n,e,s,s,w,w,w,o,p,k,v,d,p
f,2,y,g,t,n,f,c,b,w,t,s,s,g,w,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,p,t,s,s,w,g,w,o,p,n,y,d,e
f,2,s,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,s,u,p
x,2,y,e,t,n,f,c,b,n,t,s,s,p,w,w,o,p,n,v,d,e
x,2,y,e,t,n,f,c,b,p,t,s,s,w,g,w,o,p,k,v,d,e
x,2,f,g,t,n,f,c,b,p,t,s,s,p,g,w,o,p,n,y,d,e
x,2,y,g,t,n,f,c,b,p,t,s,s,w,p,w,o,p,n,v,d,e
x,2,f,n,f,n,f,w,b,p,t,s,f,w,w,w,o,e,n,s,g,e
x,2,f,n,t,n,f,c,b,w,t,s,s,g,p,w,o,p,n,y,d,e
x,2,y,g,t,n,f,c,b,p,t,s,s,p,p,w,o,p,k,v,d,e
x,2,y,e,t,n,f,c,b,p,t,s,s,w,p,w,o,p,n,v,d,e
x,2,y,n,t,n,f,c,b,u,t,s,s,g,p,w,o,p,k,v,d,e
x,2,y,g,t,n,f,c,b,w,t,s,s,p,g,w,o,p,k,v,d,e
f,2,y,g,t,n,f,c,b,p,t,s,s,g,g,w,o,p,n,v,d,e
x,2,y,e,t,n,f,c,b,n,t,s,s,g,w,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,n,t,s,s,g,g,w,o,p,k,v,d,e
f,2,y,n,t,n,f,c,b,w,t,s,s,p,g,w,o,p,k,v,d,e
f,2,f,n,t,n,f,c,b,n,t,s,s,p,w,w,o,p,n,v,d,e
x,2,f,g,t,n,f,c,b,w,t,s,s,w,p,w,o,p,k,y,d,e
x,2,f,e,t,n,f,c,b,u,t,s,s,w,g,w,o,p,n,y,d,e
f,2,f,n,t,n,f,c,b,w,t,s,s,g,w,w,o,p,n,y,d,e
x,2,y,e,t,n,f,c,b,w,t,s,s,p,w,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,w,t,s,s,p,g,w,o,p,k,v,d,e
x,2,y,n,t,n,f,c,b,w,t,s,s,g,p,w,o,p,k,v,d,e
x,2,y,e,t,n,f,c,b,u,t,s,s,p,g,w,o,p,n,y,d,e
x,2,f,g,t,n,f,c,b,p,t,s,s,w,p,w,o,p,n,v,d,e
x,2,f,e,t,n,f,c,b,u,t,s,s,p,w,w,o,p,n,v,d,e
x,2,y,n,t,n,f,c,b,p,t,s,s,p,p,w,o,p,n,y,d,e
x,2,y,g,t,n,f,c,b,u,t,s,s,g,p,w,o,p,k,v,d,e
f,2,f,n,t,n,f,c,b,u,t,s,s,g,w,w,o,p,n,y,d,e
x,2,y,e,t,n,f,c,b,w,t,s,s,w,w,w,o,p,k,y,d,e
x,2,y,g,t,n,f,c,b,n,t,s,s,w,g,w,o,p,k,v,d,e
f,2,f,n,t,n,f,c,b,w,t,s,s,w,w,w,o,p,k,y,d,e
x,2,f,e,t,n,f,c,b,n,t,s,s,p,g,w,o,p,k,v,d,e
f,2,f,g,t,n,f,c,b,n,t,s,s,g,w,w,o,p,k,v,d,e
x,2,y,g,t,n,f,c,b,u,t,s,s,g,p,w,o,p,k,y,d,e
x,2,y,n,t,n,f,c,b,n,t,s,s,w,p,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,p,t,s,s,p,g,w,o,p,k,y,d,e
x,2,f,e,t,n,f,c,b,n,t,s,s,w,w,w,o,p,k,v,d,e
f,2,s,w,f,n,f,w,b,k,t,s,s,w,w,w,o,e,n,a,g,e
x,2,y,n,t,n,f,c,b,n,t,s,s,g,w,w,o,p,k,v,d,e
x,2,f,n,t,n,f,c,b,w,t,s,s,p,w,w,o,p,k,y,d,e
x,2,f,e,t,n,f,c,b,p,t,s,s,g,g,w,o,p,n,y,d,e
f,2,f,n,t,n,f,c,b,n,t,s,s,g,p,w,o,p,k,y,d,e
x,2,f,n,t,n,f,c,b,u,t,s,s,w,p,w,o,p,n,v,d,e
x,2,s,g,f,n,f,w,b,p,t,s,f,w,w,w,o,e,n,s,g,e
x,2,f,e,t,n,f,c,b,n,t,s,s,g,g,w,o,p,k,v,d,e
x,2,y,g,t,n,f,c,b,n,t,s,s,p,g,w,o,p,k,v,d,e
f,2,f,n,t,n,f,c,b,u,t,s,s,w,g,w,o,p,k,y,d,e
x,2,f,g,f,f,f,c,b,h,e,k,k,n,n,w,o,l,h,y,d,p
x,2,f,n,f,n,f,w,b,h,t,s,s,w,w,w,o,e,k,a,g,e
x,2,s,w,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,v,g,p
x,2,y,g,t,n,f,c,b,p,t,s,s,p,p,w,o,p,n,y,d,e
f,2,f,n,t,n,f,c,b,n,t,s,s,w,w,w,o,p,n,v,d,e
x,2,f,n,t,n,f,c,b,p,t,s,s,g,p,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,u,t,s,s,p,p,w,o,p,n,v,d,e
f,2,f,n,t,n,f,c,b,u,t,s,s,g,w,w,o,p,k,y,d,e
x,2,f,g,t,n,f,c,b,u,t,s,s,w,g,w,o,p,k,v,d,e
x,2,y,e,t,n,f,c,b,u,t,s,s,g,g,w,o,p,n,y,d,e
x,2,f,e,t,n,f,c,b,n,t,s,s,w,w,w,o,p,k,y,d,e
x,2,s,w,t,p,f,c,n,n,e,s,s,w,w,w,o,p,k,v,g,p
f,2,f,g,t,n,f,c,b,n,t,s,s,w,w,w,o,p,k,v,d,e
x,2,f,g,t,n,f,c,b,p,t,s,s,g,p,w,o,p,k,v,d,e
f,2,y,e,t,n,f,c,b,w,t,s,s,w,p,w,o,p,k,v,d,e
x,2,y,n,t,n,f,c,b,w,t,s,s,w,w,w,o,p,n,v,d,e
f,2,f,n,t,n,f,c,b,p,t,s,s,w,p,w,o,p,n,v,d,e
x,2,y,n,t,n,f,c,b,p,t,s,s,p,p,w,o,p,n,v,d,e
x,2,y,g,t,n,f,c,b,n,t,s,s,p,p,w,o,p,k,v,d,e
x,2,y,n,t,n,f,c,b,p,t,s,s,p,p,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,w,t,s,s,g,p,w,o,p,n,v,d,e
x,2,y,n,t,n,f,c,b,p,t,s,s,p,g,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,p,t,s,s,p,g,w,o,p,k,v,d,e
x,2,f,n,t,n,f,c,b,u,t,s,s,p,g,w,o,p,n,y,d,e
x,2,f,n,t,n,f,c,b,p,t,s,s,g,w,w,o,p,n,v,d,e
f,2,f,g,t,n,f,c,b,n,t,s,s,p,p,w,o,p,n,y,d,e
x,2,f,e,t,n,f,c,b,u,t,s,s,p,p,w,o,p,n,y,d,e
f,2,f,n,t,n,f,c,b,w,t,s,s,p,g,w,o,p,k,y,d,e
x,2,f,n,t,n,f,c,b,w,t,s,s,p,p,w,o,p,k,y,d,e
f,2,f,e,t,n,f,c,b,u,t,s,s,p,g,w,o,p,n,v,d,e
x,2,y,e,t,n,f,c,b,n,t,s,s,w,g,w,o,p,k,y,d,e
f,2,f,g,t,n,f,c,b,p,t,s,s,w,g,w,o,p,n,y,d,e
f,2,y,n,t,n,f,c,b,p,t,s,s,p,g,w,o,p,k,y,d,e
f,2,y,e,t,n,f,c,b,u,t,s,s,g,w,w,o,p,k,v,d,e
x,2,y,g,t,n,f,c,b,u,t,s,s,w,w,w,o,p,n,y,d,e
x,2,f,g,t,n,f,c,b,n,t,s,s,p,w,w,o,p,k,y,d,e
x,2,y,n,t,n,f,c,b,u,t,s,s,w,p,w,o,p,k,v,d,e
f,2,f,n,t,n,f,c,b,p,t,s,s,w,w,w,o,p,n,y,d,e
f,2,f,n,t,n,f,c,b,p,t,s,s,p,w,w,o,p,k,v,d,e
f,2,f,g,t,n,f,c,b,n,t,s,s,w,w,w,o,p,k,y,d,e
f,2,f,g,t,n,f,c,b,p,t,s,s,p,w,w,o,p,n,y,d,e
x,2,y,g,t,n,f,c,b,w,t,s,s,p,p,w,o,p,n,y,d,e
x,2,y,e,t,n,f,c,b,n,t,s,s,g,w,w,o,p,n,y,d,e
x,2,f,n,t,n,f,c,b,p,t,s,s,g,g,w,o,p,k,y,d,e
x,2,y,e,t,n,f,c,b,w,t,s,s,w,p,w,o,p,n,v,d,e
x,2,f,n,t,n,f,c,b,w,t,s,s,w,p,w,o,p,k,v,d,e
x,2,y,g,t,n,f,c,b,n,t,s,s,g,w,w,o,p,k,y,d,e
x,2,y,g,t,n,f,c,b,u,t,s,s,w,p,w,o,p,k,v,d,e
x,2,f,n,t,n,f,c,b,u,t,s,s,p,p,w,o,p,k,y,d,e
x,2,y,g,t,n,f,c,b,w,t,s,s,g,p,w,o,p,k,v,d,e
x,2,y,g,t,n,f,c,b,w,t,s,s,p,w,w,o,p,n,v,d,e
x,2,y,g,t,n,f,c,b,p,t,s,s,w,p,w,o,p,n,y,d,e
x,2,y,n,t,n,f,c,b,w,t,s,s,p,g,w,o,p,k,v,d,e
f,2,y,n,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,s,u,p
x,2,s,g,f,n,f,w,b,n,t,f,s,w,w,w,o,e,n,s,g,e
x,2,f,g,t,n,f,c,b,u,t,s,s,g,p,w,o,p,k,v,d,e
x,2,f,e,t,n,f,c,b,n,t,s,s,w,g,w,o,p,k,y,d,e
x,2,s,p,f,c,f,w,n,u,e,s,s,w,w,w,o,p,n,s,d,p
x,2,f,e,t,n,f,c,b,p,t,s,s,w,g,w,o,p,k,v,d,e
x,2,y,n,t,n,f,c,b,p,t,s,s,w,w,w,o,p,n,y,d,e
x,2,y,e,t,n,f,c,b,u,t,s,s,p,g,w,o,p,k,v,d,e
x,2,s,w,f,n,f,w,b,k,t,s,s,w,w,w,o,e,n,s,g,e
f,2,f,g,t,n,f,c,b,p,t,s,s,g,p,w,o,p,n,v,d,e
x,2,y,g,t,n,f,c,b,n,t,s,s,g,p,w,o,p,n,v,d,e
x,2,y,g,t,n,f,c,b,n,t,s,s,p,w,w,o,p,k,v,d,e
f,2,s,w,f,n,f,w,b,h,t,f,f,w,w,w,o,e,k,s,g,e
x,2,y,e,t,n,f,c,b,p,t,s,s,w,g,w,o,p,n,y,d,e
x,2,y,e,t,n,f,c,b,u,t,s,s,p,p,w,o,p,n,y,d,e
f,2,f,n,t,n,f,c,b,u,t,s,s,p,p,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,u,t,s,s,w,w,w,o,p,k,v,d,e
x,2,f,e,t,n,f,c,b,w,t,s,s,g,p,w,o,p,k,y,d,e
f,2,s,w,f,n,f,w,b,n,t,f,s,w,w,w,o,e,n,s,g,e
x,2,y,g,t,n,f,c,b,u,t,s,s,p,p,w,o,p,n,y,d,e
f,2,f,n,t,n,f,c,b,n,t,s,s,w,g,w,o,p,n,v,d,e
x,2,y,n,t,n,f,c,b,n,t,s,s,g,w,w,o,p,k,y,d,e
x,2,y,n,t,n,f,c,b,w,t,s,s,w,w,w,o,p,k,y,d,e
x,2,y,e,t,n,f,c,b,w,t,s,s,p,p,w,o,p,k,y,d,e
f,2,f,g,t,n,f,c,b,u,t,s,s,p,p,w,o,p,k,v,d,e
x,2,y,e,t,n,f,c,b,n,t,s,s,w,w,w,o,p,k,v,d,e
x,2,f,g,f,f,f,c,b,h,e,k,k,b,n,w,o,l,h,y,d,p
f,2,f,g,t,n,f,c,b,p,t,s,s,p,g,w,o,p,n,y,d,e
x,2,f,g,t,n,f,c,b,u,t,s,s,w,p,w,o,p,n,v,d,e
x,2,f,g,t,n,f,c,b,w,t,s,s,w,p,w,o,p,n,y,d,e
x,2,y,n,t,n,f,c,b,u,t,s,s,p,g,w,o,p,k,v,d,e
f,2,f,n,t,n,f,c,b,p,t,s,s,w,g,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,u,t,s,s,p,w,w,o,p,n,v,d,e
f,2,f,g,t,n,f,c,b,n,t,s,s,p,g,w,o,p,k,y,d,e
x,2,f,g,t,n,f,c,b,p,t,s,s,w,g,w,o,p,k,y,d,e
x,2,y,n,t,n,f,c,b,u,t,s,s,p,p,w,o,p,n,v,d,e
f,2,f,n,t,n,f,c,b,u,t,s,s,p,g,w,o,p,n,v,d,e
x,2,y,g,t,n,f,c,b,n,t,s,s,p,w,w,o,p,n,v,d,e
x,2,y,n,t,n,f,c,b,u,t,s,s,p,g,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,u,t,s,s,w,p,w,o,p,k,y,d,e
x,2,y,e,t,n,f,c,b,w,t,s,s,p,w,w,o,p,n,v,d,e
x,2,y,n,t,n,f,c,b,n,t,s,s,g,g,w,o,p,n,y,d,e
f,2,f,g,t,n,f,c,b,n,t,s,s,p,p,w,o,p,k,v,d,e
f,2,f,g,t,n,f,c,b,p,t,s,s,g,g,w,o,p,n,v,d,e
x,2,f,e,t,n,f,c,b,p,t,s,s,p,p,w,o,p,n,v,d,e
x,2,f,g,f,f,f,c,b,p,e,k,k,b,p,w,o,l,h,v,g,p
x,2,y,n,t,n,f,c,b,p,t,s,s,g,p,w,o,p,k,v,d,e
x,2,y,n,t,n,f,c,b,p,t,s,s,g,w,w,o,p,k,v,d,e
x,2,y,n,t,n,f,c,b,n,t,s,s,w,w,w,o,p,k,y,d,e
x,2,y,g,t,n,f,c,b,p,t,s,s,p,g,w,o,p,n,v,d,e
x,2,y,g,t,n,f,c,b,p,t,s,s,p,p,w,o,p,n,v,d,e
x,2,f,e,t,n,f,c,b,u,t,s,s,p,g,w,o,p,k,v,d,e
f,2,f,n,t,n,f,c,b,p,t,s,s,w,w,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,w,t,s,s,p,p,w,o,p,n,v,d,e
x,2,f,g,t,n,f,c,b,n,t,s,s,w,w,w,o,p,k,y,d,e
x,2,f,g,t,n,f,c,b,n,t,s,s,p,p,w,o,p,n,y,d,e
f,2,f,n,t,n,f,c,b,u,t,s,s,w,w,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,n,t,s,s,g,w,w,o,p,n,v,d,e
x,2,f,g,f,f,f,c,b,g,e,k,k,p,n,w,o,l,h,v,p,p
f,2,f,n,t,n,f,c,b,n,t,s,s,g,g,w,o,p,n,v,d,e
x,2,f,e,t,n,f,c,b,n,t,s,s,w,g,w,o,p,n,v,d,e
x,2,y,n,t,n,f,c,b,w,t,s,s,w,p,w,o,p,k,y,d,e
x,2,y,g,t,n,f,c,b,u,t,s,s,g,w,w,o,p,n,y,d,e
x,2,y,e,t,n,f,c,b,p,t,s,s,g,g,w,o,p,k,y,d,e
f,2,f,n,t,n,f,c,b,u,t,s,s,g,g,w,o,p,n,v,d,e
x,2,y,e,t,n,f,c,b,n,t,s,s,p,p,w,o,p,n,v,d,e
x,2,f,n,t,n,f,c,b,n,t,s,s,w,g,w,o,p,n,y,d,e
f,2,f,n,t,n,f,c,b,u,t,s,s,p,g,w,o,p,k,y,d,e
x,2,f,g,t,n,f,c,b,w,t,s,s,w,g,w,o,p,n,v,d,e
x,2,y,n,t,n,f,c,b,p,t,s,s,w,w,w,o,p,n,v,d,e
x,2,f,g,f,c,f,c,n,g,e,s,s,w,w,w,o,p,n,v,d,p
f,2,f,g,t,n,f,c,b,n,t,s,s,p,p,w,o,p,n,v,d,e
x,2,f,n,t,n,f,c,b,w,t,s,s,g,g,w,o,p,n,y,d,e
f,2,s,n,f,n,f,w,b,p,t,s,f,w,w,w,o,e,k,a,g,e
